element;article;symbole;numero_atomique;masse_atomique_u;categorie;groupe;periode;etat;electronegativite;point_fusion_c;point_ebullition_c;masse_volumique_g_cm3;annee_decouverte;configuration_electronique;etats_oxydation
Hydrogène;l';H;1;1.008;non-métal;1;1;gaz;2.2;-259.34;-252.87;;1766;1s1;+1|-1
Hélium;l';He;2;4.0026;gaz noble;18;1;gaz;;-272.2;-268.93;;1868;1s2;0
Lithium;le;Li;3;6.94;métal alcalin;1;2;solide;0.98;180.5;1341.85;0.534;1817;[He]2s1;+1
Béryllium;le;Be;4;9.012183;métal alcalino-terreux;2;2;solide;1.57;1286.85;2470.85;1.85;1798;[He]2s2;+2
Bore;le;B;5;10.81;métalloïde;13;2;solide;2.04;2074.85;3999.85;2.37;1808;[He]2s2 2p1;+3
Carbone;le;C;6;12.011;non-métal;14;2;solide;2.55;3549.85;3824.85;2.267;;[He]2s2 2p2;+4|+2|-4
Azote;l';N;7;14.007;non-métal;15;2;gaz;3.04;-210;-195.79;;1772;[He]2s2 2p3;+5|+4|+3|+2|+1|-1|-2|-3
Oxygène;l';O;8;15.999;non-métal;16;2;gaz;3.44;-218.79;-182.95;;1774;[He]2s2 2p4;-2
Fluor;le;F;9;18.99840316;halogène;17;2;gaz;3.98;-219.62;-188.12;;1670;[He]2s2 2p5;-1
Néon;le;Ne;10;20.18;gaz noble;18;2;gaz;;-248.59;-246.08;;1898;[He]2s2 2p6;0
Sodium;le;Na;11;22.9897693;métal alcalin;1;3;solide;0.93;97.8;882.85;0.97;1807;[Ne]3s1;+1
Magnésium;le;Mg;12;24.305;métal alcalino-terreux;2;3;solide;1.31;649.85;1089.85;1.74;1808;[Ne]3s2;+2
Aluminium;l';Al;13;26.981538;métal pauvre;13;3;solide;1.61;660.29;2518.85;2.7;;[Ne]3s2 3p1;+3
Silicium;le;Si;14;28.085;métalloïde;14;3;solide;1.9;1413.85;3264.85;2.3296;1854;[Ne]3s2 3p2;+4|+2|-4
